Hebrew Word,Valence,Arousal,Dominance
אייל קורא,0.648,0.373,0.318
אייל קנדי,0.439,0.337,0.34
איילה,0.55,0.336,0.336
אייליינר,0.688,0.349,0.347
איים,0.419,0.679,0.452
אייס טי,0.771,0.337,0.336
אייק,0.35,0.515,0.3255
איך שלא יהיה,0.459,0.309,0.345
איכול,0.39,0.531,0.538
איכזב,0.071,0.472,0.241
איכלס,0.594,0.45,0.679
איכר,0.53,0.275,0.407
איל,0.627,0.708,0.868
איל הון,0.5685,0.6799999999999999,0.8665
אילוץ,0.323,0.55,0.481
אילץ,0.234,0.5955,0.352
אימאם,0.527,0.337,0.539
אימבציל,0.082,0.569,0.26
אימה,0.134,0.821,0.403
אימהי,0.847,0.417,0.634
אימו,0.354,0.314,0.226
אימוץ,0.625,0.566,0.589
אימות,0.6745,0.46099999999999997,0.7415
אימייל,0.698,0.23,0.456
אימן,0.633,0.823,0.735
אימפ,0.35,0.448,0.42
אימפוטנט,0.146,0.587,0.333
אימפוטנציה,0.198,0.689,0.224
אימפולסיבי,0.365,0.864,0.607
אימפריאלי,0.284,0.786,0.833
אימפריה,0.688,0.73,0.944
אימץ,0.531,0.469,0.52
אימת,0.531,0.529,0.616
אין אמון,0.055,0.445,0.257
אין בית ספר,0.49,0.4,0.38
אין גועל,0.51,0.324,0.448
אין דאגות,0.63,0.402,0.5
אין כמו בבית,0.796,0.38,0.538
אין לחץ,0.531,0.404,0.415
אין לעמוד בפניו,0.823,0.833,0.839
אין סוף,0.688,0.643,0.829
אין ספור,0.667,0.445,0.704
אין עבודה,0.312,0.264,0.309
אין פואנטה,0.276,0.324,0.314
אין ציפייה,0.396,0.48,0.341
אין שלג,0.392,0.394,0.366
אין שמש,0.388,0.38,0.351
אין תלונות,0.677,0.164,0.491
אין תקווה,0.2,0.441,0.385
אינדוקטרינציה,0.327,0.657,0.698
אינדוקציה,0.392,0.593,0.627
אינדי,0.479,0.368,0.43
אינדיבידואלי,0.627,0.327,0.533
אינדיבידואליות,0.612,0.469,0.527
אינדיגו,0.514,0.365,0.473
אינדיקטור,0.573,0.451,0.67
אינדיקציה,0.719,0.432,0.75
אינדקס,0.448,0.268,0.342
אינטגרלי,0.59,0.337,0.615
אינטואיטיבי,0.771,0.573,0.69
אינטואיציה,0.857,0.508,0.602
אינטונציה,0.615,0.442,0.598
אינטימי,0.724,0.598,0.393
אינטימיות,0.857,0.802,0.558
אינטליגנטי,0.917,0.541,0.868
אינטליגנציה,0.833,0.587,0.885
אינטלקט,0.844,0.418,0.87
אינטלקטואל,0.316,0.492,0.284
אינטלקטואלי,0.906,0.455,0.845
אינטנסיבי,0.581,0.808,0.7275
אינטראקטיבי,0.727,0.811,0.77
אינטראקציה,0.646,0.735,0.75
אינטרגלקטי,0.562,0.661,0.741
אינטרינזי,0.406,0.471,0.526
אינטרלוד,0.47,0.417,0.377
אינטרנט,0.76,0.462,0.755
אינטרפרומטר,0.51,0.51,0.517
אינטרקום,0.623,0.429,0.453
אינטש,0.481,0.327,0.3
אינסולין,0.429,0.472,0.375
אינסוף,0.62,0.521,0.77
אינסופי,0.398,0.561,0.5295
אינסטינקט,0.771,0.602,0.642
אינסטינקטיבית,0.752,0.575,0.694
אינסטלטור,0.327,0.51,0.448
אינסטלציה,0.469,0.427,0.441
אינספור,0.5,0.49749999999999994,0.542
אינפוזיה,0.583,0.365,0.453
אינפוזר,0.469,0.433,0.536
אינפורמטיבי,0.812,0.419,0.741
אינפיניטיסימאלי,0.388,0.472,0.496
אינפלציה,0.219,0.792,0.508
אינפנטילי,0.604,0.382,0.259
אינפקציה,0.083,0.735,0.407
אינפרא אדום,0.469,0.588,0.526
אינץ',0.481,0.327,0.3
אינקובוס,0.458,0.529,0.482
אינקובטור,0.51,0.435,0.405
אינקוויזיטור,0.385,0.873,0.642
אינרציה,0.344,0.288,0.322
איסוף,0.648,0.51,0.546
איסור,0.146,0.689,0.587
איפוק,0.501,0.358,0.577
איצטדיון,0.724,0.694,0.529
איקונוגרפיה,0.602,0.382,0.653
איקוני,0.583,0.537,0.7
אירגן,0.698,0.531,0.728
אירוביקה,0.708,0.771,0.627
אירוח,0.817,0.415,0.587
אירוני,0.435,0.55,0.5
אירוניה,0.39,0.587,0.508
אירוסין,0.906,0.587,0.807
אירוספייס,0.643,0.52,0.779
אירוע,0.745,0.673,0.664
אירוע לגיוס כספים,0.61,0.577,0.667
אירוע קשה,0.344,0.539,0.529
אירח,0.844,0.375,0.566
אירי,0.449,0.451,0.382
איש,0.869,0.302,0.588
איש בסיס,0.604,0.449,0.462
איש דת,0.521,0.324,0.589
איש חדשות,0.604,0.48,0.696
איש חוק,0.51,0.523,0.786
איש מבפנים,0.625,0.562,0.75
איש מערות,0.235,0.644,0.482
איש מעשה,0.724,0.55,0.728
איש סוד,0.837,0.633,0.631
איש עסקים,0.5915,0.554,0.8675
איש פעמון,0.54,0.25,0.371
איש צוות,0.602,0.58,0.548
איש צוות אוויר,0.587,0.716,0.721
איש ציפור,0.49,0.567,0.604
איש קשר,0.719,0.424,0.526
איש שיחה,0.719,0.467,0.667
איש תלוי,0.153,0.877,0.555
אישה,0.551,0.529,0.398
אישור,0.766,0.436875,0.6805
אישורים,0.708,0.373,0.675
אישי,0.75,0.311,0.467
אישיות,0.7633333333333333,0.439,0.7436666666666666
אישפוז,0.802,0.415,0.732
אישר,0.8154,0.44420000000000004,0.7574
איתור,0.708,0.567,0.538
איתן,0.5223333333333333,0.6226666666666666,0.661
אכזב,0.072,0.556,0.2205
אכזבה,0.1095,0.45399999999999996,0.28350000000000003
אכזרי,0.13940000000000002,0.8438000000000001,0.546
אכזריות,0.1175,0.688,0.47050000000000003
אכיל,0.75,0.425,0.497
אכילה,0.847,0.491,0.615
אכילת לחם הקודש,0.765,0.357,0.607
אכינצאה,0.592,0.418,0.454
אכיפה,0.594,0.571,0.736
אכלן,0.5315,0.3945,0.6114999999999999
אכלס,0.458,0.44,0.598
אכסדרה,0.521,0.444,0.366
אכסניה,0.531,0.372,0.45
אכפת,0.65,0.388,0.627
אל,0.8115,0.539,0.887
אל הירכתיים,0.48,0.417,0.518
אל תתעסק איתי,0.312,0.635,0.44
אל.אס.די,0.375,0.471,0.39
אלא אם כן,0.408,0.413,0.526
אלבום,0.635,0.349,0.453
אלבטרוס,0.5,0.445,0.527
אלגברה,0.44,0.34,0.565
אלגברי,0.531,0.412,0.441
אלגורי,0.517,0.558,0.598
אלגוריה,0.615,0.58,0.509
אלגוריתם,0.448,0.394,0.559
אלגנטי,0.865,0.5,0.685
אלגנטיות,0.8465,0.4335,0.75
אלגרו,0.635,0.627,0.453
אלה,0.6825,0.5105000000000001,0.618
אלוהה,0.698,0.44,0.441
אלוהות,0.896,0.559,0.774
אלוהי,0.8396666666666667,0.5056666666666666,0.7813333333333333
אלוהים,0.758,0.518,0.886
אלוהים אלוהים אלוהים,0.49,0.551,0.358
אלוהים גדול,0.712,0.596,0.6
אלוהים הוא טוב,0.74,0.434,0.63
אלוהים יברכך,0.823,0.395,0.588
אלומיניום,0.449,0.28,0.434
אלון,0.583,0.245,0.536
אלונקת גלגלים,0.408,0.304,0.352
אלונקת מתים,0.497,0.448,0.407
אלוף,0.872,0.817,0.9205
אלחוטי,0.667,0.441,0.528
אלט,0.656,0.404,0.73
אלטרנטיבה,0.628,0.373,0.631
אליבי,0.396,0.528,0.556
אליגטור,0.354,0.704,0.645
אליטיסט,0.5,0.606,0.656
אליטיסטית,0.5,0.606,0.656
אליל,0.684,0.805,0.853
אלימינציה,0.052,0.667,0.431
אליפות,0.833,0.8,0.88
אליפטי,0.4585,0.35550000000000004,0.42900000000000005
אליפסה,0.531,0.41,0.479
אליפסואיד,0.5,0.44,0.419
אליקסיר,0.708,0.587,0.604
אלכוהול,0.45166666666666666,0.6356666666666667,0.39433333333333337
אלכוהול מזוייף,0.633,0.389,0.491
אלכוהולי,0.153,0.688,0.361
אלכוהוליות,0.061,0.779,0.407
אלכוהוליזם,0.061,0.779,0.407
אלכימיה,0.541,0.583,0.693
אלכסון,0.5,0.343,0.41
אלכסוני,0.469,0.345,0.4325
אלמוג,0.802,0.231,0.425
אלמוני,0.396,0.291,0.431
אלמוניות,0.469,0.255,0.43
אלמותי,0.812,0.75,0.795
אלמנט,0.5205,0.2855,0.47150000000000003
אלמנטים,0.51,0.312,0.462
אלמנך,0.688,0.19,0.412
אלסטי,0.656,0.518,0.385
אלסטיות,0.635,0.452,0.582
אלף בית,0.562,0.204,0.672
אלף ביתי,0.537,0.296,0.535
אלפא,0.708,0.34,0.755
אלפביתי,0.537,0.296,0.535
אלפיני,0.594,0.337,0.474
